Clear Spring,"(190.32258064516128, 0.43661971830985913, 213.0)","(167.3684210526316, 0.46341463414634143, 205.0)","(51.0, 0.1568627450980392, 255.0)","(10.0, 0.07894736842105265, 228.0)","(34.80000000000001, 0.39682539682539686, 252.0)","(27.21649484536084, 0.3849206349206349, 252.0)","(26.571428571428555, 0.3398058252427184, 206.0)","(28.604651162790674, 0.41951219512195126, 205.0)","(28.258064516129025, 0.6126482213438735, 253.0)","(40.86956521739131, 0.3270142180094787, 211.0)","(41.415929203539804, 0.889763779527559, 254.0)","(38.139534883720955, 0.5397489539748954, 239.0)","(48.23529411764707, 1.0, 255.0)","(49.45454545454544, 0.6790123456790124, 243.0)","(41.53846153846155, 0.5652173913043479, 253.0)","(54.04761904761904, 1.0, 252.0)","(64.03587443946188, 1.0, 223.0)","(65.32710280373831, 1.0, 214.0)","(148.09248554913296, 1.0, 173.0)","(96.26373626373626, 0.5321637426900585, 171.0)","(71.53846153846155, 0.6701030927835052, 194.0)","(149.0566037735849, 1.0, 159.0)","(166.09271523178808, 1.0, 151.0)","(175.97560975609755, 1.0, 164.0)","(189.94082840236686, 0.9941176470588236, 170.0)","(193.93364928909952, 1.0, 211.0)","(183.8150289017341, 1.0, 173.0)","(192.96296296296296, 1.0, 162.0)","(203.57142857142858, 1.0, 140.0)","(278.1818181818182, 0.45833333333333337, 144.0)","(286.2857142857143, 0.6774193548387097, 155.0)","(282.3255813953488, 0.6825396825396826, 189.0)","(259.7142857142857, 0.31818181818181823, 220.0)","(311.9230769230769, 0.7323943661971831, 213.0)","(296.0869565217391, 0.2787878787878788, 165.0)","(273.4177215189873, 0.3910891089108911, 202.0)","(332.3076923076923, 0.598326359832636, 239.0)","(343.38461538461536, 0.5263157894736843, 247.0)","(354.8031496062992, 0.4980392156862745, 255.0)","(8.287292817679543, 0.7669491525423728, 236.0)","(6.857142857142833, 0.7352941176470589, 238.0)","(358.5542168674699, 0.6509803921568628, 255.0)","(3.7894736842105203, 0.8715596330275229, 218.0)","(341.23348017621146, 1.0, 227.0)","(12.73972602739724, 0.5725490196078431, 255.0)","(30.472440944881896, 0.996078431372549, 255.0)","(26.5263157894737, 1.0, 190.0)","(30.86956521739131, 0.8313253012048193, 166.0)","(171.8181818181818, 0.9887640449438202, 89.0)","(356.25, 0.23188405797101452, 69.0)","(33.75, 0.5274725274725275, 91.0)"

Clear Winter,"(0.0, 0.0, 254.0)","(55.19999999999999, 0.6072874493927125, 247.0)","(33.10344827586209, 0.15934065934065933, 182.0)","(343.768115942029, 1.0, 207.0)","(341.23348017621146, 1.0, 227.0)","(352.84090909090907, 0.7096774193548387, 248.0)","(331.4537444933921, 1.0, 227.0)","(332.2543352601156, 0.7554585152838428, 229.0)","(332.3076923076923, 0.598326359832636, 239.0)","(192.0, 0.02358490566037741, 212.0)","(320.93023255813955, 0.18614718614718617, 231.0)","(328.0851063829787, 0.3868312757201646, 243.0)","(216.58536585365854, 0.18141592920353977, 226.0)","(192.5874125874126, 0.6163793103448276, 232.0)","(183.8150289017341, 1.0, 173.0)","(166.09271523178808, 1.0, 151.0)","(163.4355828220859, 1.0, 163.0)","(149.0566037735849, 1.0, 159.0)","(222.0, 0.12345679012345678, 81.0)","(29.0322580645161, 0.3563218390804598, 87.0)","(171.8181818181818, 0.9887640449438202, 89.0)","(200.35714285714286, 0.6021505376344086, 93.0)","(207.11111111111111, 1.0, 135.0)","(267.88732394366195, 0.5916666666666667, 120.0)","(217.45454545454547, 1.0, 165.0)","(233.45454545454547, 0.7142857142857143, 154.0)","(220.875, 1.0, 160.0)","(211.6304347826087, 1.0, 184.0)","(244.54545454545453, 0.44594594594594594, 148.0)","(278.1818181818182, 0.45833333333333337, 144.0)","(282.3255813953488, 0.6825396825396826, 189.0)","(286.2857142857143, 0.6774193548387097, 155.0)","(290.14925373134326, 0.8535031847133758, 157.0)","(321.70854271356785, 1.0, 199.0)","(321.2068965517241, 0.703030303030303, 165.0)","(309.29577464788736, 0.8554216867469879, 166.0)","(325.7647058823529, 1.0, 170.0)","(333.4020618556701, 0.7185185185185186, 135.0)","(325.7142857142857, 0.5661764705882353, 136.0)","(273.4177215189873, 0.3910891089108911, 202.0)","(311.9230769230769, 0.7323943661971831, 213.0)","(308.09815950920245, 0.8190954773869347, 199.0)","(204.47761194029852, 1.0, 201.0)","(202.6046511627907, 1.0, 215.0)","(197.96791443850267, 1.0, 187.0)","(192.96296296296296, 1.0, 162.0)","(189.94082840236686, 0.9941176470588236, 170.0)","(195.22388059701493, 1.0, 201.0)","(0.0, 0.0, 20.0)","(205.26315789473685, 0.6816143497757847, 223.0)","(196.72566371681415, 1.0, 226.0)"

Cool Summer,"(48.0, 0.38306451612903225, 248.0)","(0.0, 0.0, 244.0)","(321.3333333333333, 0.1923076923076923, 234.0)","(33.10344827586209, 0.15934065934065933, 182.0)","(354.375, 0.16326530612244894, 196.0)","(346.15384615384613, 0.2157676348547718, 241.0)","(41.53846153846155, 0.06666666666666665, 195.0)","(220.0, 0.015706806282722474, 191.0)","(216.58536585365854, 0.18141592920353977, 226.0)","(192.5874125874126, 0.6163793103448276, 232.0)","(198.0, 0.5150214592274678, 233.0)","(203.7037037037037, 0.34468085106382984, 235.0)","(185.9154929577465, 0.9953271028037384, 214.0)","(182.6086956521739, 1.0, 184.0)","(183.27272727272728, 1.0, 165.0)","(184.6875, 1.0, 128.0)","(172.9090909090909, 1.0, 110.0)","(149.0566037735849, 1.0, 159.0)","(259.7142857142857, 0.31818181818181823, 220.0)","(150.53254437869822, 0.8125, 208.0)","(163.4355828220859, 1.0, 163.0)","(194.73214285714286, 1.0, 224.0)","(205.26315789473685, 0.6816143497757847, 223.0)","(208.93617021276594, 0.6945812807881773, 203.0)","(228.0, 0.03731343283582089, 134.0)","(207.69230769230768, 0.37410071942446044, 139.0)","(204.47761194029852, 1.0, 201.0)","(296.0869565217391, 0.2787878787878788, 165.0)","(297.1698113207547, 0.5145631067961165, 206.0)","(312.22222222222223, 0.4757709251101322, 227.0)","(328.0851063829787, 0.3868312757201646, 243.0)","(331.7647058823529, 0.48571428571428577, 245.0)","(332.3076923076923, 0.598326359832636, 239.0)","(334.7107438016529, 0.5817307692307692, 208.0)","(338.961038961039, 0.6875, 224.0)","(331.95979899497485, 0.8766519823788547, 227.0)","(336.0, 0.4945054945054945, 182.0)","(325.5882352941177, 0.40718562874251496, 167.0)","(309.29577464788736, 0.44099378881987583, 161.0)","(282.3255813953488, 0.6825396825396826, 189.0)","(256.3636363636364, 0.4325842696629213, 178.0)","(285.51724137931035, 0.48066298342541436, 181.0)","(302.4742268041237, 0.6643835616438356, 146.0)","(325.7142857142857, 0.5661764705882353, 136.0)","(332.5827814569536, 0.8830409356725146, 171.0)","(339.5833333333333, 0.7955801104972375, 181.0)","(343.82022471910113, 0.9319371727748691, 191.0)","(353.89830508474574, 0.437037037037037, 135.0)","(207.27272727272728, 1.0, 88.0)","(222.0, 0.12345679012345678, 81.0)","(12.631578947368439, 0.3486238532110092, 109.0)"

Cool Winter,"(48.0, 0.38306451612903225, 248.0)","(0.0, 0.0, 254.0)","(320.93023255813955, 0.18614718614718617, 231.0)","(311.9230769230769, 0.7323943661971831, 213.0)","(332.3076923076923, 0.598326359832636, 239.0)","(328.0851063829787, 0.3868312757201646, 243.0)","(308.09815950920245, 0.8190954773869347, 199.0)","(321.42857142857144, 0.6222222222222222, 180.0)","(326.7357512953368, 0.8894009216589862, 217.0)","(331.4537444933921, 1.0, 227.0)","(331.95979899497485, 0.8766519823788547, 227.0)","(332.2543352601156, 0.7554585152838428, 229.0)","(343.82022471910113, 0.9319371727748691, 191.0)","(343.768115942029, 1.0, 207.0)","(282.3255813953488, 0.6825396825396826, 189.0)","(286.2857142857143, 0.6774193548387097, 155.0)","(290.14925373134326, 0.8535031847133758, 157.0)","(323.52, 0.9124087591240876, 137.0)","(324.0983606557377, 0.8026315789473684, 152.0)","(325.7647058823529, 1.0, 170.0)","(333.4020618556701, 0.7185185185185186, 135.0)","(325.7142857142857, 0.5661764705882353, 136.0)","(310.188679245283, 0.5047619047619047, 105.0)","(267.88732394366195, 0.5916666666666667, 120.0)","(207.11111111111111, 1.0, 135.0)","(211.6304347826087, 1.0, 184.0)","(244.54545454545453, 0.44594594594594594, 148.0)","(200.35714285714286, 0.6021505376344086, 93.0)","(222.0, 0.12345679012345678, 81.0)","(171.8181818181818, 0.9887640449438202, 89.0)","(184.6875, 1.0, 128.0)","(228.0, 0.03731343283582089, 134.0)","(204.47761194029852, 1.0, 201.0)","(192.96296296296296, 1.0, 162.0)","(197.96791443850267, 1.0, 187.0)","(202.6046511627907, 1.0, 215.0)","(189.94082840236686, 0.9941176470588236, 170.0)","(183.8150289017341, 1.0, 173.0)","(182.6086956521739, 1.0, 184.0)","(192.0, 0.02358490566037741, 212.0)","(194.25, 0.3433476394849786, 233.0)","(192.5874125874126, 0.6163793103448276, 232.0)","(210.85714285714286, 0.1495726495726496, 234.0)","(216.58536585365854, 0.18141592920353977, 226.0)","(207.85714285714286, 0.2666666666666667, 210.0)","(205.26315789473685, 0.6816143497757847, 223.0)","(196.72566371681415, 1.0, 226.0)","(166.09271523178808, 1.0, 151.0)","(0.0, 0.0, 20.0)","(149.0566037735849, 1.0, 159.0)","(163.4355828220859, 1.0, 163.0)"

Deep Autumn,"(278.796992481203, 0.9568345323741008, 139.0)","(207.27272727272728, 1.0, 88.0)","(169.0909090909091, 0.3027522935779816, 218.0)","(166.09271523178808, 1.0, 151.0)","(183.27272727272728, 1.0, 165.0)","(175.9375, 1.0, 192.0)","(149.0566037735849, 1.0, 159.0)","(82.8169014084507, 0.5461538461538462, 130.0)","(70.0, 0.42000000000000004, 100.0)","(184.6875, 1.0, 128.0)","(191.25, 1.0, 112.0)","(171.8181818181818, 0.9887640449438202, 89.0)","(193.17919075144508, 1.0, 173.0)","(197.96791443850267, 1.0, 187.0)","(240.78947368421052, 0.39583333333333337, 192.0)","(285.51724137931035, 0.48066298342541436, 181.0)","(282.3255813953488, 0.6825396825396826, 189.0)","(325.7142857142857, 0.5661764705882353, 136.0)","(356.3265306122449, 0.49, 100.0)","(357.90697674418607, 0.6991869918699187, 123.0)","(323.52, 0.9124087591240876, 137.0)","(22.857142857142833, 0.2530120481927711, 83.0)","(31.57894736842104, 0.38383838383838387, 99.0)","(33.75, 0.5274725274725275, 91.0)","(356.8141592920354, 0.6848484848484848, 165.0)","(7.627118644067821, 0.7662337662337663, 154.0)","(16.61538461538464, 0.5241935483870968, 124.0)","(343.82022471910113, 0.9319371727748691, 191.0)","(349.01960784313724, 0.6071428571428572, 252.0)","(352.84090909090907, 0.7096774193548387, 248.0)","(8.287292817679543, 0.7669491525423728, 236.0)","(13.846153846153868, 0.7447916666666667, 192.0)","(21.19999999999999, 0.7692307692307692, 195.0)","(28.80000000000001, 0.5524861878453038, 181.0)","(43.6708860759494, 0.9937106918238994, 159.0)","(24.31578947368422, 1.0, 190.0)","(31.071428571428555, 0.3783783783783784, 148.0)","(53.42465753424659, 0.45341614906832295, 161.0)","(49.875, 0.8695652173913043, 184.0)","(28.258064516129025, 0.6126482213438735, 253.0)","(35.469613259668506, 0.7098039215686274, 255.0)","(46.788990825688074, 1.0, 218.0)","(28.643216080402, 0.8089430894308943, 246.0)","(30.472440944881896, 0.996078431372549, 255.0)","(40.86956521739131, 0.3270142180094787, 211.0)","(84.79338842975207, 0.5654205607476636, 214.0)","(65.32710280373831, 1.0, 214.0)","(48.23529411764707, 1.0, 255.0)","(51.0, 0.1568627450980392, 255.0)","(48.0, 0.38306451612903225, 248.0)","(55.19999999999999, 0.6072874493927125, 247.0)"

