Clear Spring,#78c5d5,#6ecdb9,#fff9d7,#e4d5d2,#fcd298,#fcc79b,#cea788,#cda077,#fdab62,#d3bd8e,#feb81c,#efc06e,#ffcd00,#f3d64e,#fdd16e,#fce300,#d0df00,#c3d600,#00ad51,#74ab50,#a9c240,#009f4d,#009774,#00a499,#018eaa,#00a2d3,#00a2ad,#007fa2,#00558c,#784e90,#83329b,#973cbd,#ad96dc,#d539b6,#a277a5,#a77bca,#ef60a2,#f77599,#ff808b,#ec5037,#ee533f,#ff595d,#da281c,#e30047,#ff8c6d,#ff8201,#be5400,#a6631c,#01594d,#453536,#5b462b

Clear Winter,#fefefe,#f7eb61,#b6a999,#cf0038,#e30047,#f8485d,#e3006c,#e53888,#ef60a2,#cfd3d4,#e7bcd8,#f395c7,#b9c9e2,#59cae8,#00a2ad,#009774,#00a376,#009f4d,#474a51,#574738,#01594d,#254a5d,#004a87,#523178,#003ea5,#2c389a,#0033a0,#0057b8,#575294,#784e90,#973cbd,#83329b,#87179d,#c7007f,#a5317c,#a61890,#aa0061,#872651,#883b67,#a77bca,#d539b6,#c724b1,#0077c9,#0086d7,#0083bb,#007fa2,#018eaa,#0096c9,#141414,#479fdf,#00a3e2

Cool Summer,#f8e599,#f4f4f4,#eabdda,#b6a999,#c4a4a7,#f1bdc9,#c3bfb6,#bcbdbf,#b9c9e2,#59cae8,#71c5e9,#9acbeb,#01c1d6,#00b0b8,#009ca5,#007680,#006e61,#009f4d,#ad96dc,#27d07d,#00a376,#00a9e0,#479fdf,#3e87cb,#818286,#57738b,#0077c9,#a277a5,#c964ce,#e377cd,#f395c7,#f57eb6,#ef60a2,#d0578a,#e0467c,#e31c79,#b65c80,#a7638a,#a15a96,#973cbd,#7a65b2,#a05eb5,#92318e,#883b67,#ab1459,#b52556,#bf0d3d,#874c52,#003058,#474a51,#6d4f47

Cool Winter,#f8e599,#fefefe,#e7bcd8,#d539b6,#ef60a2,#f395c7,#c724b1,#b4448c,#d91883,#e3006c,#e31c79,#e53888,#bf0d3d,#cf0038,#973cbd,#83329b,#87179d,#890c58,#981e67,#aa0061,#872651,#883b67,#693460,#523178,#004a87,#0057b8,#575294,#254a5d,#474a51,#01594d,#007680,#818286,#0077c9,#007fa2,#0083bb,#0086d7,#018eaa,#00a2ad,#00b0b8,#cfd3d4,#99d6e9,#59cae8,#c7d8ea,#b9c9e2,#9ab8d2,#479fdf,#00a3e2,#009774,#141414,#009f4d,#00a376

Deep Autumn,#5c068b,#003058,#98dace,#009774,#009ca5,#00c0b3,#009f4d,#67823b,#5d643a,#007680,#005b70,#01594d,#0087ad,#0083bb,#7574c0,#a05eb5,#973cbd,#883b67,#643336,#7b2528,#890c58,#53463e,#63513d,#5b462b,#a5343a,#9a3324,#7c4d3b,#bf0d3d,#fc637f,#f8485d,#ec5037,#c05231,#c3622d,#b58151,#9f7401,#be4d00,#94795c,#a19958,#b89d18,#fdab62,#ffb54a,#daaa00,#f68e2f,#ff8201,#d3bd8e,#a4d65d,#c3d600,#ffcd00,#fff9d7,#f8e599,#f7eb61

